,char_count,word_count,lexical_diversity
count,70.0,70.0,70.0
mean,13307.385714285714,2487.8571428571427,0.5478106900455165
std,30670.658950734283,5466.795490579267,0.2766207481361892
min,62.0,11.0,0.12377186676252097
25%,1183.5,236.75,0.3029291425705768
50%,3627.0,710.5,0.5011128775834659
75%,8629.75,1754.25,0.7722886029411764
max,220131.0,37573.0,1.0
